"type","cov.TP..mg.P.kg.","cov.NO3..mg.L.","cov.NH4..mg.L.","cov.TN..mg.L.","cov.H2O..mg.gsoil.","cov.pH","cov.Richness","cov.AP.Activity..nmol.MUB..g.dry.soil...hour.","cov.warmed","cov.clipped"
"cor.bollen",0,0.432015276608248,-0.0388694734967857,0.168231308251028,-0.259813676981501,0.0749990089321216,0.103270567748113,0.070008685859201,-5.55111512312578e-17,1.66533453693773e-16
"cor.bollen",0.432015276608248,-3.33066907387547e-16,-0.0410830040822118,0.356108512689746,-0.326161078303214,0.0675765220076573,0.300723703833417,-0.297904187481752,0,-6.24500451351651e-17
"cor.bollen",-0.0388694734967857,-0.0410830040822118,-3.33066907387547e-16,0.649072736265062,0.380525513313692,-0.0602432371192333,0.218205965274812,-0.732795351566293,6.38378239159465e-16,-5.55111512312578e-17
"cor.bollen",0.168231308251028,0.356108512689746,0.649072736265062,-1.11022302462516e-16,-0.0463070846657319,0.0465475555708985,-0.279365571938896,0.218597542455587,-2.22044604925031e-16,3.40005801291454e-16
"cor.bollen",-0.259813676981501,-0.326161078303214,0.380525513313692,-0.0463070846657319,-3.33066907387547e-16,-0.208390010263683,-0.297344431644935,-0.174969973879121,-6.38378239159465e-16,1.66533453693773e-16
"cor.bollen",0.0749990089321216,0.0675765220076573,-0.0602432371192333,0.0465475555708985,-0.208390010263683,2.22044604925031e-16,0.0949854595154364,0.061888879084635,-6.66133814775094e-16,7.7715611723761e-16
"cor.bollen",0.103270567748113,0.300723703833417,0.218205965274812,-0.279365571938896,-0.297344431644935,0.0949854595154364,0,0.660287373913208,0.00493711053766954,0.155569889115184
"cor.bollen",0.070008685859201,-0.297904187481752,-0.732795351566293,0.218597542455587,-0.174969973879121,0.061888879084635,0.660287373913208,3.33066907387547e-16,0.0220869139509331,0.158129947542613
"cor.bollen",-5.55111512312578e-17,0,6.38378239159465e-16,-2.22044604925031e-16,-6.38378239159465e-16,-6.66133814775094e-16,0.00493711053766954,0.0220869139509331,0,0
"cor.bollen",1.66533453693773e-16,-6.24500451351651e-17,-5.55111512312578e-17,3.40005801291454e-16,1.66533453693773e-16,7.7715611723761e-16,0.155569889115184,0.158129947542613,0,0
