"type","cov.TP..mg.P.kg.","cov.NO3..mg.L.","cov.NH4..mg.L.","cov.TN..mg.L.","cov.H2O..mg.gsoil.","cov.pH","cov.Richness","cov.AP.Activity..nmol.MUB..g.dry.soil...hour.","cov.warmed","cov.clipped"
"cor.bollen",0,0.432015276608247,-0.0388694734967858,0.168231308251028,-0.259813676981501,0.0749990089321208,-0.309102289669759,0.0700086858592004,4.44089209850063e-16,-5.55111512312578e-17
"cor.bollen",0.432015276608247,-1.11022302462516e-16,-0.0410830040822113,0.356108512689746,-0.326161078303214,0.067576522007657,0.0913069139789434,-0.297904187481752,0,2.77555756156289e-17
"cor.bollen",-0.0388694734967858,-0.0410830040822113,0,0.649072736265062,0.380525513313692,-0.060243237119233,0.263181729520554,-0.732795351566293,0,0
"cor.bollen",0.168231308251028,0.356108512689746,0.649072736265062,0,-0.0463070846657321,0.0465475555708977,-0.502614997780968,0.218597542455588,0,0
"cor.bollen",-0.259813676981501,-0.326161078303214,0.380525513313692,-0.0463070846657321,0,-0.208390010263683,0.179182543281657,-0.174969973879122,0,0
"cor.bollen",0.0749990089321208,0.067576522007657,-0.060243237119233,0.0465475555708977,-0.208390010263683,0,-0.0840568225918976,0.0618888790846356,0,0
"cor.bollen",-0.309102289669759,0.0913069139789434,0.263181729520554,-0.502614997780968,0.179182543281657,-0.0840568225918976,0,0.596043755527793,0.174116487863439,0.085206297277003
"cor.bollen",0.0700086858592004,-0.297904187481752,-0.732795351566293,0.218597542455588,-0.174969973879122,0.0618888790846355,0.596043755527793,0,0.0220869139509327,0.158129947542614
"cor.bollen",4.44089209850063e-16,0,0,0,0,0,0.174116487863439,0.0220869139509327,0,0
"cor.bollen",-5.55111512312578e-17,2.77555756156289e-17,0,0,0,0,0.085206297277003,0.158129947542614,0,0
