"","baseMean","log2FoldChange","pvalue","padj","Upregulated"
"Entotheonellaeota",28108.5605985211,12.7505393229792,1.91600502075627e-09,9.19682409963011e-08,"double precipitation"
"Cyanobacteria",8148.22837593664,10.3927895820512,0.00351082494702388,0.0337039194914292,"double precipitation"
"Elusimicrobiota",7336.48580608794,13.3997041177824,6.13781481328146e-07,1.24382742687355e-05,"double precipitation"
"Abditibacteriota",5308.24659033197,10.7988316077418,2.5785073319008e-05,0.000309420879828096,"double precipitation"
"Fibrobacterota",6118.07686353771,12.522052576774,7.77392141795971e-07,1.24382742687355e-05,"double precipitation"
