"","baseMean","log2FoldChange","pvalue","padj","Upregulated"
"Tenericutes",440.404292717219,-10.1147778114795,2.69994302231913e-05,0.00102597834848127,"CA"
"Euryarchaeota",461.827848265966,7.19529186570216,0.00231521297011356,0.0219945232160788,"CB"
"Archaea_unclassified",82.7414287961566,-8.21660040040761,8.04083433517303e-05,0.00152775852368288,"CA"
"Margulisbacteria",20.4673923567324,6.20541157183027,0.00198757525000844,0.0219945232160788,"CB"
"Kiritimatiellaeota",54.0398057025561,-6.80297261585579,0.00379520183211946,0.0288435339241079,"CA"
