"","baseMean","log2FoldChange","pvalue","padj","Upregulated"
"Lineage_IV_ge",16447.9375,14.683609967986,3.51247938370799e-14,7.47767833242724e-13,"T3"
"Brucella",3540.875,12.4677603461919,2.96795314811885e-10,3.64525527679213e-09,"T3"
"OM27_clade",11594.625,14.1791373421085,1.20268017328076e-12,1.88879935410322e-11,"T3"
"Anaerococcus",7765.5,13.6008078297629,3.95072880937728e-11,5.18465506764854e-10,"T3"
"BIrii41_ge",586.625,9.873412101377,4.53911570033787e-08,4.26320866757224e-07,"T3"
"Bosea",13097.375,-15.0918781204782,1.97664573779135e-16,8.23315920349613e-15,"T1"
"OLB14_ge",5346,-13.7990441305402,7.56581159666229e-15,2.07087071702928e-13,"T1"
"Rothia",356.8125,9.15554669860293,5.19875478113611e-07,4.48685322552107e-06,"T3"
"Lysobacter",7640.5,-14.3142978059481,1.77783740049476e-15,5.49409106346444e-14,"T1"
"Limosilactobacillus",4872.5625,-13.6652524823655,1.09250483220109e-14,2.63303043537956e-13,"T1"
"Subgroup_25_ge",248.9375,-9.37101640732609,8.19503295392258e-10,9.45884526488896e-09,"T1"
"Edaphobaculum",5614.125,13.1327861114552,1.15955396435592e-11,1.58693242550424e-10,"T3"
"A21b_ge",519.5,9.69797592676041,1.97960994192592e-07,1.78911917392927e-06,"T3"
"BD2.11_terrestrial_group_ge",11691.5625,-14.9280259206864,3.09171214702381e-16,1.1541224512605e-14,"T1"
"Alistipes",17141.9375,-15.4801408198577,6.79836920647657e-17,3.72078997782042e-15,"T1"
"Micrococcales_unclassified",1345.4375,11.0714268060259,6.2433983096912e-09,6.36295274540869e-08,"T3"
"Marmoricola",445.75,9.47691650578211,2.93605989722803e-07,2.62873400144341e-06,"T3"
"Veillonella",2272.3125,11.8277345268023,1.24384894366571e-09,1.40189092709617e-08,"T3"
"Blastomonas",9911.1875,13.9528096416287,1.61658558231598e-13,3.09737797571742e-12,"T3"
"Xanthomonadaceae_unclassified",3719.75,-13.2757207722792,3.13167686533652e-14,6.81851462952815e-13,"T1"
"Nordella",4492.5,-13.5480752474186,1.50341153700068e-14,3.51284939621133e-13,"T1"
"Enterococcus",28975.4375,-16.2374676320502,9.8654793400039e-20,1.89022584154475e-17,"T1"
"Kapabacteriales_ge",14178.75,-15.2063463252821,1.15042706107739e-18,1.57444160644591e-16,"T1"
"Chitinophaga",101.375,7.33625965455832,1.27335693106538e-05,0.000105161718962124,"T3"
"Pajaroellobacter",11653.125,-14.9232834693205,3.13227387607233e-16,1.1541224512605e-14,"T1"
"Enterobacterales_unclassified",111.6875,-8.21023839021873,1.60817734897976e-08,1.57207540849246e-07,"T1"
"Micromonosporaceae_unclassified",599.25,9.90414440639352,1.3701518690004e-07,1.25010046714513e-06,"T3"
"Bacteroidia_unclassified",185.3125,-8.94394888294464,2.46343903664369e-09,2.62219399678295e-08,"T1"
"AKYG587",101.375,7.33625965455832,1.27335693106538e-05,0.000105161718962124,"T3"
"Prevotellaceae_unclassified",267.875,8.74143901967669,1.08301495323858e-06,9.26364576073711e-06,"T3"
"Actinobacteriota_unclassified",6669.0625,-6.32773680580949,0.00285222835210923,0.0215152343411074,"T1"
"SAR116_clade_ge",25971.75,-16.0795656161505,1.06334320446783e-17,9.26075263527437e-16,"T1"
"Opitutus",1432.875,11.1623317307316,4.88754476311177e-09,5.08942161202291e-08,"T3"
"Actinomyces",6820.5,-14.1504951164645,2.83496051123374e-15,7.9879181463586e-14,"T1"
"Bifidobacteriaceae_unclassified",25180.6875,-16.0349042687846,1.24031283309228e-17,9.90183078418669e-16,"T1"
"Nostoc_PCC.7524",5128.375,13.0021973775184,5.33834174024482e-10,6.47358403437284e-09,"T3"
"Ilumatobacteraceae_unclassified",1290.75,11.0116042360406,1.91102859397819e-08,1.8307653930311e-07,"T3"
"Microbacteriaceae_unclassified",2178.6875,-12.5038106415085,2.388524455453e-13,4.3173706194792e-12,"T1"
"Catellatospora",19722.3125,-15.6824463223332,3.79020072371109e-17,2.42067486221015e-15,"T1"
"Sphingobium",366.1875,9.19300295753639,4.86421210477078e-07,4.23628654215492e-06,"T3"
"Pseudomonadaceae_unclassified",2280.25,11.8327742420223,6.43672606366412e-12,9.06821113086798e-11,"T3"
"Sphingobacteriaceae_unclassified",51.5625,6.35577712471792,6.89380055401142e-05,0.000545806688491152,"T3"
"Dokdonella",2432.9375,-12.6630922594998,1.57751801331712e-13,3.08420868726082e-12,"T1"
"Williamsia",4959.375,-13.6907318802829,1.0189200546604e-14,2.56875108517018e-13,"T1"
"Ohtaekwangia",8430.1875,-14.4562037606762,1.18598763929616e-15,3.91784882222663e-14,"T1"
"Paraclostridium",15381,-15.3237669784582,1.05013530533483e-16,5.29489275005667e-15,"T1"
"Pla4_lineage_ge",1522.5625,11.2499569995131,1.25229051569473e-08,1.26283612003742e-07,"T3"
"Methyloligellaceae_ge",371.8125,9.21501648317687,4.67770690361646e-07,4.11123230611428e-06,"T3"
"Actinobacteria_unclassified",51.5625,6.35577712471792,6.89380055401142e-05,0.000545806688491152,"T3"
"Micrococcus",5602.0625,-13.8665642952483,1.26811369870468e-16,5.88494727110124e-15,"T1"
"Gordonia",9249.875,-14.5900823245036,8.0248696911978e-16,2.74565184434553e-14,"T1"
"Gemella",1468.6875,11.1979731422253,1.37321126952001e-08,1.37035041270851e-07,"T3"
