"","baseMean","log2FoldChange","pvalue","padj","Upregulated"
"Nordella",2765,-13.5480856921253,7.14622263845868e-20,2.20841331859465e-18,"T1"
"Enterococcus",17831.4230769231,-16.2374670771665,2.76114430636607e-26,1.32258812274935e-23,"T1"
"Kapabacteriales_ge",8725.76923076923,-15.2063514366122,2.40053786169207e-25,5.6607575133145e-23,"T1"
"Chitinophaga",62.7692307692308,7.3362544144206,4.3267442285804e-07,3.63598330787721e-06,"T2"
"Pajaroellobacter",7171.53846153846,-14.9233099849706,5.29600010655646e-22,2.53678405104054e-20,"T1"
"Enterobacterales_unclassified",69.1153846153846,-8.21022616052851,4.00160994738019e-11,4.21268387867057e-10,"T1"
"Micromonosporaceae_unclassified",369.153846153846,9.90415970366726,6.41132029102674e-10,6.26739269265675e-09,"T2"
"Bacteroidia_unclassified",114.423076923077,-8.94394946286374,2.50999822179263e-12,3.1639188111544e-11,"T1"
"AKYG587",62.7692307692308,7.3362544144206,4.3267442285804e-07,3.63598330787721e-06,"T2"
"Prevotellaceae_unclassified",165.230769230769,8.7414487865397,1.2625612133441e-08,1.11993855776264e-07,"T2"
"Actinobacteriota_unclassified",4104.42307692308,-6.3277156016399,0.000366828291763618,0.00281137202807637,"T1"
"SAR116_clade_ge",15983,-16.0795671689484,1.22779503362311e-23,1.17622764221094e-21,"T1"
"Opitutus",1087.80769230769,11.1621912675944,1.18124574987828e-08,1.05760133493775e-07,"T2"
"Actinomyces",4197.61538461538,-14.1504934107445,8.46127141043622e-21,3.11765308122996e-19,"T1"
"Bifidobacteriaceae_unclassified",15496.1923076923,-16.0349426330387,1.42569484763026e-23,1.24165060366344e-21,"T1"
"Nostoc_PCC.7524",3156.30769230769,13.0021156328818,2.70868112905323e-13,3.99217926405076e-12,"T2"
"Ilumatobacteraceae_unclassified",794.692307692308,11.011620887591,3.6543745534875e-11,3.88987869137891e-10,"T2"
"Microbacteriaceae_unclassified",1341.11538461538,-12.504029394893,3.06787125330976e-18,7.34755165167687e-17,"T1"
"Catellatospora",12137.1923076923,-15.6824240417211,4.43758305217765e-23,3.27015735691246e-21,"T1"
"Sphingobium",225.730769230769,9.19300416048223,4.04307095915555e-09,3.76044852317575e-08,"T2"
"Pseudomonadaceae_unclassified",298.153846153846,8.90655278568029,4.35249125349781e-08,3.79062420077355e-07,"T2"
"Sphingobacteriaceae_unclassified",32.1153846153846,6.35575582098773,4.61609783782112e-06,3.779676691139e-05,"T2"
"Dokdonella",1497.57692307692,-12.6630961017816,1.71399771986549e-18,4.3210784621872e-17,"T1"
"Williamsia",3052.30769230769,-13.6907322622448,4.31069376168928e-20,1.47487307989226e-18,"T1"
"Ohtaekwangia",5188.19230769231,-14.4562473268352,2.84877081452434e-21,1.24051020014287e-19,"T1"
"Paraclostridium",9465.61538461538,-15.3237594330902,1.38072957472724e-22,7.78081725052176e-21,"T1"
"Pla4_lineage_ge",937.346153846154,11.2500071272101,2.00489216352771e-11,2.23335661937156e-10,"T2"
"Methyloligellaceae_ge",229.192307692308,9.21502748676236,3.82150798780336e-09,3.58922024736825e-08,"T2"
"Actinobacteria_unclassified",51.8846153846154,6.35575604768618,0.000114151210967229,0.000881910162150045,"T2"
"Micrococcus",3447.80769230769,-13.8665772700951,9.30415677334726e-23,5.57086386804167e-21,"T1"
"Gordonia",5692.61538461538,-14.5900848302007,1.76317669051904e-21,8.04344414055828e-20,"T1"
"Gemella",904.192307692308,11.1980100017747,2.27172533881465e-11,2.50150905124647e-10,"T2"
"Acidobacteriae_unclassified",32.1153846153846,6.35575582098773,4.61609783782112e-06,3.779676691139e-05,"T2"
"Acetobacteraceae_genus",611.269230769231,-11.3692766195893,2.20895190834851e-16,4.14936456509386e-15,"T1"
"Longimicrobium",2994.11538461538,-13.6629337141515,4.75694189339105e-20,1.51905011128954e-18,"T1"
"Cutibacterium",28.3846153846154,6.17397845580079,7.10985310250987e-06,5.67603272683704e-05,"T2"
"Singulisphaera",114.423076923077,-8.94394946286374,2.50999822179263e-12,3.1639188111544e-11,"T1"
"Bacteroides",168.5,-9.50544996131261,2.98500073612075e-13,4.26810553015475e-12,"T1"
"Tahibacter",1341.11538461538,-12.504029394893,3.06787125330976e-18,7.34755165167687e-17,"T1"
"Listeria",273.538461538462,-10.2069706795295,2.04385868991868e-14,3.2098633195772e-13,"T1"
"Chthoniobacterales_unclassified",114.423076923077,-8.94394946286374,2.50999822179263e-12,3.1639188111544e-11,"T1"
"Photobacterium",1006.07692307692,-12.0888475352225,1.43318419948844e-17,2.98476187632593e-16,"T1"
"Psychrobacter",818.615384615385,-11.7911106801322,4.40292793249345e-17,8.97447863686963e-16,"T1"
"Planctomycetales_unclassified",46.5384615384615,-7.63176011130172,3.3232176971256e-10,3.38685378068758e-09,"T1"
"Sphaerisporangium",503.538461538462,-11.0891355406352,6.53259619472442e-16,1.18079757632943e-14,"T1"
"Burkholderiaceae_unclassified",306.115384615385,-10.3697395357089,1.088829574793e-14,1.76796395364694e-13,"T1"
"Candidatus_Uhrbacteria_ge",168.5,-9.50544996131261,2.98500073612075e-13,4.26810553015475e-12,"T1"
"Nocardiaceae_ge",46.5384615384615,-7.63176011130172,3.3232176971256e-10,3.38685378068758e-09,"T1"
