"type","cov.TP..mg.P.kg.","cov.NO3..mg.L.","cov.NH4..mg.L.","cov.TN..mg.L.","cov.H2O..mg.gsoil.","cov.pH","cov.Richness","cov.AP.Activity..nmol.MUB..g.dry.soil...hour.","cov.warmed","cov.clipped"
"cor.bollen",1.11022302462516e-16,0.444722246897024,-0.0479021351653605,0.161334703354741,-0.277020777572171,0.0754056937779915,-0.184998031703368,0.0786736482439262,-1.11022302462516e-16,-8.32667268468867e-17
"cor.bollen",0.444722246897024,-1.11022302462516e-16,-0.0422651370579299,0.358696222210529,-0.29925627551155,0.0497086988597942,0.187937051736913,-0.304680213915719,-2.22044604925031e-16,-1.11022302462516e-16
"cor.bollen",-0.0479021351653605,-0.0422651370579299,0,0.66072824475137,0.334515250468827,0.0041234124270399,-0.0981892623376813,-0.721744843756096,0,0
"cor.bollen",0.161334703354741,0.358696222210529,0.66072824475137,-1.11022302462516e-16,-0.0703965215231615,0.0744765513353387,-0.278896981076275,0.225831590766144,0,-9.71445146547012e-17
"cor.bollen",-0.277020777572171,-0.29925627551155,0.334515250468827,-0.0703965215231615,0,-0.263005117396323,0.16086614700606,-0.153547301444448,0,0
"cor.bollen",0.0754056937779915,0.0497086988597942,0.00412341242703992,0.0744765513353387,-0.263005117396323,0,-0.0256311237744759,0.0565992442658992,1.11022302462516e-16,0
"cor.bollen",-0.184998031703368,0.187937051736913,-0.0981892623376813,-0.278896981076275,0.16086614700606,-0.0256311237744757,0,0.254861932678095,0.227897627044094,-0.0717575987733644
"cor.bollen",0.0786736482439262,-0.304680213915719,-0.721744843756096,0.225831590766144,-0.153547301444448,0.0565992442658992,0.254861932678095,0,0.0225965811330578,0.119332326310001
"cor.bollen",-1.11022302462516e-16,-2.22044604925031e-16,0,0,0,1.11022302462516e-16,0.227897627044094,0.0225965811330578,0,0
"cor.bollen",-8.32667268468867e-17,-1.11022302462516e-16,0,-9.71445146547012e-17,0,0,-0.0717575987733644,0.119332326310001,0,0
