"type","cov.TP..mg.P.kg.","cov.NO3..mg.L.","cov.NH4..mg.L.","cov.TN..mg.L.","cov.H2O..mg.gsoil.","cov.pH","cov.Normalized.polyP..FACS","cov.Normalized.PHAAO..FACS","cov.Normalized.PAO..FACS","cov.Normalized.PAO..Raman","cov.Richness","cov.AP.Activity..nmol.MUB..g.dry.soil...hour.","cov.warmed","cov.clipped"
"cor.bollen",2.22044604925031e-16,0.437416608532983,-0.0424635233945266,0.165386391912845,-0.267502282261581,0.0756782643353354,-0.0169347883945851,-0.0543187583680173,-0.0309261650140444,-0.0310635141872134,0.107461194398776,-0.148966148151416,1.2356782264078e-13,3.56936702416988e-14
"cor.bollen",0.437416608532983,0,-0.0432631347133673,0.356483113877131,-0.313279621801161,0.0572044012235139,0.177782849770661,-0.199682162429627,0.0645501309787273,-0.178487412498658,0.108421220771404,-0.172491003915903,-1.23234755733392e-14,5.27008992001754e-14
"cor.bollen",-0.0424635233945266,-0.0432631347133672,3.33066907387547e-16,0.656425048952849,0.356810047013259,-0.0242390649733324,-0.402386798419468,0.203830359537064,-0.330512371426449,0.149966611182822,-0.158079712334642,-0.936136778342394,5.3534954247425e-13,1.41692213517786e-13
"cor.bollen",0.165386391912845,0.356483113877131,0.656425048952849,-2.22044604925031e-16,-0.0584358006332798,0.0622800621504033,-0.212659855524428,0.0357637260809606,-0.257478185961632,-0.148238502130318,0.135947019161797,0.333365481679641,8.04911692853238e-14,-2.63851440696072e-15
"cor.bollen",-0.267502282261581,-0.313279621801161,0.356810047013259,-0.0584358006332797,2.22044604925031e-16,-0.238019075285385,-0.160967705026398,-0.108880094483176,-0.193548193218128,0.226800787338026,-0.187131225467034,-0.226927462286302,-7.05269176393131e-14,1.28230759344206e-14
"cor.bollen",0.0756782643353355,0.057204401223514,-0.0242390649733324,0.0622800621504033,-0.238019075285385,0,0.0114885216143039,-0.0234946017595702,-0.0142764581225277,-0.00829455817150515,0.0480839735420986,0.093258081486217,1.41642496398475e-07,1.65534080054375e-07
"cor.bollen",-0.0169347883945851,0.177782849770661,-0.402386798419468,-0.212659855524428,-0.160967705026398,0.0114885216143038,3.33066907387547e-16,-0.0419252260236142,0.00354830067444323,0.00459251499237945,-0.174780126525332,-0.152395396238258,-0.0321860515160742,-0.184249356134912
"cor.bollen",-0.0543187583680173,-0.199682162429627,0.203830359537064,0.0357637260809606,-0.108880094483176,-0.0234946017595702,-0.0419252260236143,0,-0.0533198394716526,0.0400203656043628,-0.0253043963846565,-0.486224362675383,0.000991151764603682,0.0071667267059046
"cor.bollen",-0.0309261650140444,0.0645501309787274,-0.330512371426449,-0.257478185961632,-0.193548193218128,-0.0142764581225277,0.00354830067444323,-0.0533198394716525,0,0.0232535012247753,-0.230872706347536,-0.201508519392365,-0.0288943026117767,-0.118194011840921
"cor.bollen",-0.0310635141872134,-0.178487412498658,0.149966611182822,-0.148238502130318,0.226800787338026,-0.00829455817150515,0.0045925149923795,0.0400203656043628,0.0232535012247752,0,0.0519397098698042,0.19045234505071,0.176835531670446,0.489542015317761
"cor.bollen",0.107461194398776,0.108421220771404,-0.158079712334642,0.135947019161797,-0.187131225467034,0.0480839735420986,-0.174780126525332,-0.0253043963846565,-0.230872706347536,0.0519397098698042,-2.22044604925031e-16,0.0755024140067743,0.0739783275421215,0.137535287746063
"cor.bollen",-0.148966148151416,-0.172491003915903,-0.936136778342394,0.333365481679641,-0.226927462286302,0.093258081486217,-0.152395396238258,-0.486224362675383,-0.201508519392365,0.19045234505071,0.0755024140067743,3.33066907387547e-16,0.00867916442390791,0.187320267983111
"cor.bollen",1.2356782264078e-13,-1.23234755733392e-14,5.3534954247425e-13,8.04911692853238e-14,-7.05269176393131e-14,1.41642496398475e-07,-0.0321860515160742,0.000991151764603682,-0.0288943026117767,0.176835531670446,0.0739783275421215,0.00867916442390791,0,0
"cor.bollen",3.56936702416988e-14,5.27008992001754e-14,1.41692213517786e-13,-2.63851440696072e-15,1.28230759344206e-14,1.65534080054375e-07,-0.184249356134912,0.0071667267059046,-0.118194011840921,0.489542015317761,0.137535287746063,0.187320267983111,0,0
